Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
20.91667,12.28889,,,
21.0,12.55556,,,
21.08333,12.45,,,
21.16667,12.39167,,,
21.25,11.95833,,,
21.33333,11.85833,,,
21.41667,12.13611,,,
21.5,12.24444,,,
21.58333,12.57778,,,
21.66667,12.53056,,,
21.75,12.18333,,,
21.83333,12.10833,,,
21.91667,12.13889,,,
22.0,12.07778,,,
22.08333,11.98333,,,
22.16667,12.19444,,,
22.25,11.88889,,,
22.33333,11.81667,,,
22.41667,12.27222,,,
22.5,12.13333,,,
22.58333,12.22222,,,
22.66667,12.31111,,,
22.75,12.26944,,,
22.83333,12.2,,,
22.91667,12.10833,,,
23.0,11.93056,,,
23.08333,12.46944,,,
23.16667,11.94444,,,
23.25,12.17778,,,
23.33333,12.20278,,,
23.41667,12.08611,,,
23.5,12.55,,,
23.58333,12.46389,,,
23.66667,12.225,,,
23.75,12.36389,,,
23.83333,11.76667,,,
23.91667,11.625,,,
24.0,12.01389,,,
24.08333,11.90833,,,
24.16667,12.01389,,,
24.25,12.23889,,,
24.33333,12.09444,,,
24.41667,11.63889,,,
24.5,12.57222,,,
24.58333,11.99722,,,
24.66667,12.21667,,,
24.75,12.43611,,,
24.83333,12.25556,,,
24.91667,12.49444,,,
25.0,12.29444,,,
25.08333,12.06389,,,
25.16667,12.08056,,,
25.25,12.20278,,,
25.33333,12.23611,,,
25.41667,12.19722,,,
25.5,12.04722,,,
25.58333,11.84444,,,
25.66667,12.55278,,,
25.75,13.18889,,,
25.83333,12.46944,,,
25.91667,12.33611,,,
26.0,12.61111,,,
26.08333,12.03056,,,
26.16667,12.18889,,,
26.25,12.78056,,,
26.33333,11.90556,,,
26.41667,11.72222,,,
26.5,12.05833,,,
26.58333,12.93333,,,
26.66667,12.8,,,
26.75,12.41111,,,
26.83333,12.29167,,,
26.91667,12.32222,,,
27.0,11.93333,,,
27.08333,12.15556,,,
27.16667,12.26389,,,
27.25,12.08611,,,
27.33333,12.44722,,,
27.41667,12.63611,,,
27.5,12.90556,,,
27.58333,12.46667,,,
27.66667,12.29444,,,
27.75,12.16944,,,
27.83333,12.28333,,,
27.91667,12.57778,,,
28.0,11.85556,,,
28.08333,12.16389,,,
28.16667,11.41389,,,
28.25,11.94722,,,
