Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
21.0,12.38611,,,
21.08333,12.69722,,,
21.16667,12.69722,,,
21.25,12.14167,,,
21.33333,12.58333,,,
21.41667,12.72222,,,
21.5,12.42778,,,
21.58333,12.59167,,,
21.66667,12.32778,,,
21.75,12.53611,,,
21.83333,12.475,,,
21.91667,12.44722,,,
22.0,12.29444,,,
22.08333,12.27222,,,
22.16667,12.58333,,,
22.25,12.08056,,,
22.33333,12.33333,,,
22.41667,12.67778,,,
22.5,12.45,,,
22.58333,12.69722,,,
22.66667,13.00833,,,
22.75,12.32222,,,
22.83333,12.52778,,,
22.91667,12.25556,,,
23.0,12.18611,,,
23.08333,12.92222,,,
23.16667,12.64722,,,
23.25,12.71667,,,
23.33333,12.72778,,,
23.41667,12.68611,,,
23.5,12.71667,,,
23.58333,12.98889,,,
23.66667,12.64444,,,
23.75,12.62222,,,
23.83333,12.575,,,
23.91667,12.03889,,,
24.0,12.41944,,,
24.08333,12.48333,,,
24.16667,12.38056,,,
24.25,12.43056,,,
24.33333,12.38056,,,
24.41667,12.175,,,
24.5,12.43889,,,
24.58333,12.31667,,,
24.66667,12.19444,,,
24.75,12.93889,,,
24.83333,12.22222,,,
24.91667,12.80278,,,
25.0,13.04167,,,
25.08333,12.12778,,,
25.16667,12.60556,,,
25.25,12.55833,,,
25.33333,12.63889,,,
25.41667,12.61944,,,
25.5,12.60556,,,
25.58333,12.23611,,,
25.66667,12.96944,,,
25.75,13.45278,,,
25.83333,12.69444,,,
25.91667,12.68889,,,
26.0,12.66389,,,
26.08333,12.82222,,,
26.16667,12.49167,,,
26.25,12.95833,,,
26.33333,12.06667,,,
26.41667,12.34722,,,
26.5,12.77222,,,
26.58333,13.0,,,
26.66667,12.27222,,,
26.75,12.78611,,,
26.83333,12.75833,,,
26.91667,12.43056,,,
27.0,12.26111,,,
27.08333,12.55556,,,
27.16667,12.5,,,
27.25,12.26389,,,
27.33333,12.78056,,,
27.41667,12.875,,,
27.5,13.20556,,,
27.58333,12.58889,,,
27.66667,12.03611,,,
27.75,12.60833,,,
27.83333,12.61667,,,
27.91667,12.96667,,,
28.0,12.34167,,,
28.08333,12.69167,,,
28.16667,10.45833,,,
28.25,11.51667,,,
28.33333,12.85556,,,
28.41667,12.54444,,,
28.5,12.475,,,
28.58333,12.26667,,,
28.66667,12.55278,,,
28.75,12.62222,,,
28.83333,12.60833,,,
28.91667,12.49167,,,
29.0,12.21667,,,
29.08333,12.22778,,,
29.16667,12.99444,,,
29.25,12.18889,,,
29.33333,12.45278,,,
29.41667,12.78333,,,
29.5,12.63333,,,
29.58333,12.55556,,,
29.66667,12.45556,,,
29.75,12.74167,,,
29.83333,11.90556,,,
29.91667,12.45833,,,
30.0,12.9,,,
30.08333,12.69167,,,
30.16667,12.59167,,,
30.25,12.63611,,,
30.33333,11.81389,,,
30.41667,10.45833,,,
30.5,11.65,,,
