Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
0.0,12.30833,,,
0.08333,11.93889,,,
0.16667,11.26111,,,
0.25,11.08333,,,
0.33333,11.12778,,,
0.41667,10.35556,,,
0.5,11.225,,,
0.58333,10.77222,,,
0.66667,10.16667,,,
0.75,10.06389,,,
0.83333,10.0,,,
0.91667,10.12778,,,
1.0,10.37778,,,
1.08333,10.38056,,,
1.16667,10.22778,,,
1.25,10.81111,,,
1.33333,10.37222,,,
1.41667,10.61944,,,
1.5,10.25,,,
1.58333,10.41389,,,
1.66667,10.24444,,,
1.75,10.15278,,,
1.83333,10.32222,,,
1.91667,10.37222,,,
2.0,10.57778,,,
2.08333,10.48889,,,
2.16667,10.45833,,,
2.25,10.52222,,,
2.33333,10.28611,,,
2.41667,10.40833,,,
2.5,10.63889,,,
2.58333,10.6,,,
2.66667,10.45,,,
2.75,10.48056,,,
2.83333,10.50833,,,
2.91667,10.4,,,
3.0,10.09722,,,
3.08333,10.41944,,,
3.16667,10.575,,,
3.25,10.01944,,,
3.33333,10.62778,,,
3.41667,10.47222,,,
3.5,10.53611,,,
3.58333,10.54167,,,
3.66667,10.88889,,,
3.75,10.46111,,,
3.83333,10.60556,,,
3.91667,10.55833,,,
4.0,10.225,,,
4.08333,10.41944,,,
4.16667,10.80556,,,
4.25,10.72222,,,
4.33333,10.80833,,,
4.41667,10.92222,,,
4.5,10.90556,,,
4.58333,10.67222,,,
4.66667,10.51111,,,
4.75,10.66944,,,
4.83333,11.08889,,,
4.91667,10.58611,,,
5.0,10.46944,,,
5.08333,10.55,,,
5.16667,10.91944,,,
5.25,11.04167,,,
5.33333,10.86944,,,
5.41667,10.36111,,,
5.5,11.03056,,,
5.58333,11.14167,,,
5.66667,10.65833,,,
5.75,10.75833,,,
5.83333,10.86389,,,
5.91667,10.89444,,,
6.0,10.63333,,,
6.08333,10.53611,,,
6.16667,10.77222,,,
6.25,11.15278,,,
6.33333,10.98056,,,
6.41667,10.90833,,,
6.5,10.825,,,
6.58333,10.79167,,,
6.66667,10.83889,,,
6.75,10.825,,,
6.83333,11.19722,,,
6.91667,10.625,,,
7.0,10.675,,,
7.08333,11.39444,,,
7.16667,11.20556,,,
7.25,11.30278,,,
7.33333,10.83889,,,
7.41667,10.45556,,,
7.5,11.06944,,,
7.58333,11.15556,,,
7.66667,11.10278,,,
7.75,10.71944,,,
7.83333,11.0,,,
7.91667,10.88611,,,
8.0,10.96389,,,
8.08333,11.39444,,,
8.16667,10.88889,,,
8.25,11.35,,,
8.33333,11.12778,,,
8.41667,11.01111,,,
8.5,10.92222,,,
8.58333,11.05278,,,
8.66667,11.06389,,,
8.75,10.66944,,,
8.83333,11.01111,,,
8.91667,11.11111,,,
9.0,10.73056,,,
9.08333,11.09444,,,
9.16667,10.725,,,
9.25,11.06111,,,
9.33333,10.40556,,,
9.41667,11.825,,,
9.5,11.19167,,,
9.58333,11.32222,,,
9.66667,11.29167,,,
9.75,11.27778,,,
9.83333,11.29167,,,
9.91667,11.05,,,
10.0,11.38333,,,
10.08333,11.31111,,,
10.16667,11.61389,,,
10.25,11.14167,,,
10.33333,11.18611,,,
10.41667,11.20556,,,
10.5,11.07778,,,
10.58333,11.24444,,,
10.66667,11.30556,,,
10.75,11.42222,,,
10.83333,11.10278,,,
10.91667,11.48611,,,
11.0,11.28333,,,
11.08333,11.08889,,,
11.16667,11.08889,,,
11.25,11.55556,,,
11.33333,11.45278,,,
11.41667,11.33611,,,
11.5,11.13889,,,
11.58333,11.58056,,,
11.66667,10.99444,,,
11.75,11.23889,,,
11.83333,11.23611,,,
11.91667,11.04722,,,
12.0,11.06667,,,
12.08333,11.24444,,,
12.16667,11.175,,,
12.25,11.04722,,,
12.33333,11.03889,,,
12.41667,11.39444,,,
12.5,10.74722,,,
12.58333,11.29167,,,
12.66667,11.55556,,,
12.75,11.34722,,,
12.83333,11.54722,,,
12.91667,11.25833,,,
