	irradiance_normalized	rh_normalized	outdoor_temperature_normalized	time
0	0.4357551178455469	0.3974433961346684	0.8555330275273334	0.05808
1	0.06313788185982126	0.3911748401948921	0.8382104117835968	0.31655
2	0.05772141672743992	0.3389841104888557	0.8354111844470329	0.57499
3	0.03287706055531722	0.2582444986891883	0.8222011321532482	0.8334
4	0.013177071856147436	0.282146146824807	0.8017964904207949	1.09185
5	0.006923636348905157	0.3066201896960612	0.7846080842068937	1.35033
6	0.003235041992416543	0.33184723729235066	0.7675395079303453	1.60882
7	0.0013569436005862925	0.36270514863507475	0.7505332432212205	1.86722
8	0.0014717242509655287	0.398763238364896	0.7390008100503767	2.12564
9	0.0014897009263558061	0.4453953483202576	0.7286235374756148	2.3841
10	0.001443197883444807	0.48015999266445575	0.7201587507010052	2.6425
11	0.0014680951568726557	0.5045604022323396	0.7101074155558432	2.90092
12	0.00161747879743975	0.5151469262263766	0.7028601009447393	3.15938
13	0.0017399396236899495	0.5252680321708071	0.6949465318819532	3.4178
14	0.0021166902290523835	0.5366617438866992	0.6823116632874625	3.67621
15	0.0019079751199436693	0.530000013893076	0.6823787680523801	3.93461
16	0.00275482000663871	0.5368534683369849	0.6780744767026637	4.19303
17	0.00290268449153902	0.5301500591150389	0.683236750403827	4.45142
18	0.0029662358369328175	0.515666527272803	0.6934079154863418	4.70982
19	0.0025365679758440744	0.5491252224628813	0.6701704940348658	4.96824
20	0.002613960517313015	0.5560064630590054	0.6635510882954911	5.22664
21	0.0021520527970736334	0.5530125051578045	0.6608045861313625	5.48505
22	0.0014788136440771875	0.557505525971022	0.6536723082601175	5.74346
23	0.002473860605820712	0.5789925574791293	0.6466358943387546	6.00186
24	0.003026073690696699	0.5783298577487938	0.648428550201554	6.26027
25	0.0030365389852900996	0.5403600807465583	0.6589592050961276	6.51868
26	0.0025421382132889488	0.5733589151174732	0.6479540236496366	6.77709
27	0.0025142870260645754	0.5741258129186158	0.6450301731782256	7.03549
28	0.002590751194626037	0.5836064480544834	0.6404526695713445	7.29389
29	0.002865465177702812	0.5708039784212743	0.6441242588518376	7.55231
30	0.0028529743422203656	0.5653259385120238	0.6474986698876954	7.81072
31	0.002804952143642582	0.5700662560799575	0.6447521677235668	8.06912
32	0.002824954359921905	0.562796009352819	0.6509162197010004	8.32754
33	0.0026465379666118275	0.5694049456572329	0.6441146724568493	8.58594
34	0.0026761615021141157	0.5783354149792368	0.6399062450570152	8.84436
35	0.002674979936595506	0.5654579227350465	0.6424466397288968	9.10275
36	0.0022580561036003397	0.551050802811403	0.648428550201554	9.36116
37	0.0020361749787128312	0.6068245568456049	0.6263319097536777	9.61957
38	0.002050016174787974	0.6040945673904496	0.6189168332302797	9.87798
39	0.0021423470803136244	0.6139461476583916	0.6144447799682691	10.13639
40	0.0017491389552276972	0.6176083625203708	0.6110703689324113	10.39481
41	0.0018308357710858593	0.6284894197278903	0.6000028759184965	10.6532
42	0.0021940827705213242	0.636572411407327	0.5930096007745808	10.9116
43	0.002371570790923922	0.6412126988272855	0.5922474823730162	11.17003
44	0.0024903181255442053	0.650258480680983	0.5852110684516535	11.42842
45	0.002609403050312663	0.6590222330896951	0.5835670017111716	11.68683
46	0.002693041009522827	0.653816497472155	0.5915572619338635	11.94522
47	0.002807652864827976	0.6273849201773312	0.6000124623134848	12.20364
48	0.002520448046268755	0.6355401558525278	0.6009423426273434	12.46204
49	0.0019623271337997194	0.6286936479466729	0.6072837429120593	12.72045
50	0.002453520799393215	0.637035050841712	0.6027349984901429	12.97886
51	0.0031992574367100757	0.6090780137902674	0.6262695981862542	13.23727
52	0.002344141591384767	0.6163760466696213	0.6157101841067159	13.49568
53	0.002171886218278869	0.6607908216782004	0.5965469805252387	13.75409
54	0.0023335918992543224	0.6634721853669787	0.5933163654142043	14.01249
55	0.0022638795336563447	0.6692753232571482	0.5854938671038064	14.2709
56	0.0024828911422843727	0.6726471728284775	0.5846502643448419	14.52931
57	0.00257800716653246	0.666028511370788	0.5869941379194649	14.78771
58	0.002451664053578257	0.6634805212126433	0.586668200489865	15.04612
59	0.0019588668347809337	0.6690183013491566	0.5798810328381961	15.30452
60	0.002250038337581202	0.6861248459605187	0.571229311361316	15.56294
61	0.0030979803922578084	0.6872974215840051	0.5671838526762819	15.82135
62	0.007811160848455191	0.6841561970760632	0.5662731451523998	16.07975
63	0.030659515269497794	0.6829474994546969	0.5671407138988348	16.33816
64	0.13205024320416262	0.6670677134636411	0.5755767414884796	16.59657
65	0.2877420932800402	0.6386938841289667	0.5906801067924402	16.85498
