	time	irradiance	rh	outdoor_temperature
120	31.06786	-0.26423	63.0535	11.1816
121	31.3262	-0.27726	63.88499999999999	10.9175
122	31.58454	-0.26008	65.2877	10.6057
123	31.84294	-0.36593	71.2419	9.6008
124	32.10135	-0.28785	73.2129	9.2378
125	32.35968	-0.22358	72.2682	9.1086
126	32.61809	-0.24533	73.9383	8.8764
127	32.8765	-0.27422	76.1914	8.3884
128	33.1349	-0.18492	76.244	8.5167
129	33.39324	-0.22742	79.7141	8.1632
130	33.65166	-0.18109	78.2826	7.9505
131	33.91006	-0.16517	78.3407	8.1513
132	34.16846	-0.19801	76.5411	8.171
133	34.42689	-0.19745	76.6693	7.969099999999999
134	34.68528	-0.22042	76.255	7.731299999999999
135	34.94369	-0.20495	75.5163	7.6404
136	35.20221	-0.27739	76.4619	7.286000000000001
137	35.46064	-0.27774	78.8449	6.886799999999999
138	35.71912	-0.18803	78.2516	7.0329999999999995
139	35.97759	-0.16001	79.823	6.901
140	36.23593	-0.07926	69.6958	8.026600000000002
141	36.49441	-0.23277	72.0852	7.570500000000001
142	36.75289	-0.19254	72.9034	7.2120999999999995
143	37.01129	-0.19767	72.2336	7.3064
144	37.26971	-0.22179	73.9235	6.957599999999999
145	37.52817	-0.19817	74.5164	6.757
146	37.78659	-0.21947	73.9001	6.828900000000001
147	38.04506	-0.21019	72.707	6.8415
148	38.30353	-0.17891	74.0959	6.593999999999999
149	38.56195	-0.16918	73.3131	6.5276
150	38.82042	-0.13557	71.4068	6.669599999999999
151	39.07883	-0.11656	73.7911	6.347199999999999
152	39.33724	-0.09183	75.5371	6.2491
153	39.59564	-0.05484	74.1775	6.365700000000002
154	39.85406	1.23745	71.7486	6.743
155	40.11246	2.45734	72.147	6.8193
156	40.37087	4.19004	71.3357	7.084999999999999
157	40.62927	26.31583	69.5776	7.4109
158	40.88768	10.69313	68.8063	7.956199999999999
159	41.14608	29.09069	67.1498	8.6973
160	41.4045	58.2106	63.7547	9.6181
161	41.6629	27.01409	61.1399	10.2231
162	41.92131	29.52289	58.6119	10.8415
163	42.17971	18.13708	58.2651	10.9715
164	42.43812	16.48157	59.73	10.4617
165	42.69653	22.10582	60.2341	10.3595
166	42.95493	20.27023	58.5349	11.0071
167	43.21338	20.17049	55.9834	11.6147
168	43.47176	20.80127	55.1772	11.9757
169	43.73016	46.95179	54.1939	12.13
170	43.98856	34.91807	50.1952	13.301199999999998
171	44.24701	104.73182	47.1861	14.5656
172	44.50542	112.79993	41.4464	15.904600000000002
173	44.76379	47.88328	37.9085	16.6634
174	45.02224	118.12094	38.7592	17.2602
175	45.2806	32.13661	36.6254	17.2892
176	45.53901	78.67336	36.9385	17.0878
177	45.79742	51.60953	34.5171	17.3114
178	46.05582	25.22587	32.6432	17.1809
179	46.31424	23.07838	29.2444	17.1137
180	46.57265	74.48704	28.0217	17.6853
181	46.83105	58.06255	33.2724	17.7056
182	47.08946	92.22748	35.2601	17.6185
183	47.34789	96.95941	36.0258	18.0083
184	47.60627	82.89161	35.9091	17.855
185	47.86467	62.40679	35.9597	17.5264
186	48.12308	12.73815	36.986	16.9361
187	48.38143	5.83529	38.5818	16.5761
188	48.63983	5.56712	38.737	16.392
189	48.89823	4.1543	37.5985	16.169
190	49.15665	2.89138	38.2146	15.7936
191	49.41513	0.76248	40.0939	15.357999999999999
192	49.67353	-0.102	40.9779	14.761799999999997
193	49.93195	-0.30648	41.9175	14.215400000000002
194	50.19034	-0.28178	44.0452	13.7326
195	50.44875	-0.16918	47.4812	13.4301
196	50.70716	-0.15453	48.4641	13.1847
197	50.96557	-0.14433	49.6233	13.314800000000002
198	51.22397	-0.15602	51.3261	12.8617
199	51.48238	-0.24554	52.7987	12.5218
200	51.74079	-0.23254	53.0675	12.289900000000001
201	51.99924	-0.16045	52.5325	12.1766
202	52.25761	-0.16843	55.5729	11.6735
203	52.51601	-0.14038	53.5758	11.9834
204	52.77443	-0.21646	55.4226	11.5819
205	53.03282	-0.22566	58.9999	11.0024
206	53.29123	-0.2016	60.3772	10.6738
207	53.54964	-0.19948	61.2372	10.4233
208	53.80805	-0.22942	61.76649999999999	10.0335
209	54.06645	-0.20897	62.98169999999999	9.7035
210	54.32486	-0.23353	64.0125	9.4665
211	54.58327	-0.20949	64.677	9.3823
212	54.84169	-0.24421	65.0041	9.2396
213	55.10009	-0.2138	65.8324	8.9999
214	55.35851	-0.23167	66.5966	8.601
215	55.6169	-0.24893	68.4074	8.169
216	55.87532	-0.19114	68.8994	8.171
217	56.13371	-0.25315	69.7354	7.824399999999999
218	56.39217	-0.18795	68.6422	7.9392
219	56.65052	-0.18899	67.8881	7.868100000000002
